"planet_key"|"PLANET"|"Star_idx"|"Mass"|"Density"|"Relative Radius"|"type_terrain"|"type of climate"
222|"Hoshizora Seraph Nonal"|3605|1,87|1,164|1,17|"volcano:city:ash:jungle"|"rocky:superheated:arid:hot"
223|"Hoshizora Seraph Sextant"|3605|5,43|0,85|1,86|"rocky island:forest:cityscape:jungle"|"frozen:hot:arid:temperate"
224|"Lysian Nexus XII"|6756|2,79|1,093|1,37|"rock arche:plateau"|"artificial temperate:arid:frigid"
225|"Lysian Nexus I"|6756|2,07|1,213|1,19|"tundra:urban:rocky desert:ocean:island"|"frigid:artic:artificial temperate"
226|"Wezen Olympus"|4634|3,52|1,085|1,48|"rocky desert:fungus forest:bog:island:city:mountain"|"superheated:artic:arid:frigid:hot"
227|"Sharjah Lambda"|9444|1,22|0,623|1,25|"valley:cliff:ocean:river:lakes:plain:cave"|"rocky:humid:frigid:artificial temperate:windy:tropical"
228|"Radiancea Sigma"|6833|5,09|0,58|2,06|"field:lava river:mountain"|"hot:superheated:artificial temperate:artic:temperate"
229|"Radiancea Omicron"|6833|1,71|0,644|1,39|"valley:fungus forest:mountain"|"tropical:superheated:arid:artic"
230|"Dabih XVII"|8039|1,38|0,987|1,12|"acid pool:city:field:hill:plateau"|"tropical:subartic:humid:frigid"
231|"Dabih X"|8039|2,65|0,934|1,42|"lava river:ice canyon:urban:verdant:valley"|"subartic:superheated:tropical:arid:artic"
232|"Chaophraya Dionian"|539|0,99|0,8|1,07|"ash:reef"|"hot:superheated"
233|"Shinju Serenity Persephonian"|4028|1,03|0,815|1,08|"rock arche:reef:cityscape:city"|"humid:windy:frigid:rocky:temperate:artic:arid"
234|"Nekkar Jiu"|8049|0,94|1,199|0,92|"field"|"hot:superheated:subartic"
235|"Nekkar Ba"|8049|2,39|1,316|1,22|"rocky desert:canyons"|"arid:artificial temperate:hot:frozen"
236|"Geisha's Echo Wu"|5798|3,76|0,817|1,66|"rocky island:rock arche:savanna:river:acid pool:glacier"|"arid:hot:artificial temperate:subartic:windy"
237|"Geisha's Echo San"|5798|9,25|0,702|2,36|"cliff:canyons:lava river"|"tropical:superheated:artic:frozen"
238|"Geisha's Echo Jiu"|5798|4,66|0,618|1,96|"cliff"|"frigid:frozen"
239|"Astral Serenity Gaios"|3044|1,31|1,385|0,98|"toxic cloudsea"|"windy:frozen:tropical:artic"
240|"Formosa Oranos"|2669|1,2|0,916|1,09|"lava river"|"rocky:frigid:windy:superheated:hot"
241|"Formosa Dionian"|2669|6,51|0,77|2,04|"cave:city"|"superheated"
242|"Formosa Selenean"|2669|7,55|0,749|2,16|"verdant"|"frozen:humid:superheated:artic:tropical"
243|"Altais Tertial"|3408|6,92|1,355|1,72|"savanna:cliff"|"rocky:humid:windy"
244|"Altais Septimal"|3408|1,56|0,904|1,2|"forest:grassy hill"|"rocky:windy:artificial temperate:superheated:subartic"
245|"Lilii Borea XXIII"|2599|2,89|1,182|1,35|"cave:plateau:island"|"frigid:tropical"
246|"Lilii Borea XIII"|2599|2,72|1,166|1,33|"rainforest:reef:city:canyons"|"hot:humid:subartic:rocky:frigid:superheated"
247|"Vermilion Expanse IV"|175|5,21|0,699|1,95|"rocky desert:urban"|"frigid:artic:hot"
248|"Tevel Tau"|899|5,67|1,252|1,65|"sea:cliff"|"superheated:windy:hot:temperate"
249|"Tevel Nu"|899|1,89|0,564|1,5|"grassy hill"|"temperate:subartic:rocky:tropical"
250|"Tevel Delta"|899|1,7|0,825|1,27|"jungle"|"artic:tropical:frozen"
251|"Tevel Beta"|899|xx|0,785|2,12|"island"|"frozen:frigid:superheated:windy"
252|"Kaze Horizon Jiu"|6398|0,97|1,392|0,89|"lakes"|"humid:subartic:windy:artificial temperate"
253|"Antares Asclepian"|3709|2,96|0,895|1,49|"rocky desert:field:ocean:cityscape:cliff"|"frozen:temperate:superheated:artic:windy:hot:frigid"
254|"Elysionix X"|2261|4,61|1,233|1,55|"urban"|"subartic:artic"
255|"Elysionix XVII"|2261|1,92|1,018|1,24|"canyons:bog:rainforest:sea:verdant:forest"|"hot:tropical:windy:temperate:humid:superheated"
256|"Galaxix Quartal"|8691|4,78|0,988|1,69|"ice canyon:rocky canyon:cityscape:valley:verdant:scrubland:barren:cliff:swamp"|"hot:arid:rocky:humid:subartic:frigid"
257|"Galaxix Tertial"|8691|7,64|0,746|2,17|"rainforest:tundra"|"tropical:frigid"
258|"Galaxix Duodecimal"|8691|5,17|0,961|1,75|"ocean"|"tropical:windy:temperate:frigid"
259|"Galaxix Septimal"|8691|7,54|0,471|2,52|"glacier:desert:toxic cloudsea"|"temperate:windy:superheated:artic"
260|"Jishui Pantheon"|1451|1,37|0,585|1,33|"plateau:tundra"|"subartic:windy:tropical"
261|"Hannya's Expanse Pi"|7297|5,14|1,092|1,68|"bog:plateau:hill:verdant:cliff:glacier"|"temperate:subartic:frozen:windy:artic"
262|"Hannya's Expanse Zeta"|7297|8,9|0,363|2,9|"rocky desert:vine:city"|"tropical:superheated:humid:arid:windy"
263|"Solarionis Upsilon"|6668|2,93|1,354|1,29|"plain"|"subartic:artic:hot:windy:tropical:rocky:frigid"
264|"Drakonir Pi"|3830|0,54|1,382|0,73|"glacier"|"artic"
265|"Drakonir Xi"|3830|1,2|0,997|1,06|"cave:urban:rocky desert:glacier:rocky island:valley"|"artic:humid:rocky:frozen"
266|"Drakonir Beta"|3830|0,8|0,975|0,94|"city"|"artificial temperate:superheated:windy:hot"
267|"Drakonir Zeta"|3830|5,99|1,458|1,6|"cave:river"|"windy:tropical:artic:frigid"
268|"Veritate Titanos"|6009|1,2|1,087|1,03|"urban:bog"|"artic:subartic:windy:hot"
269|"Olympus Anomaly Echoian"|2229|1,16|1,353|0,95|"mountain:barren"|"arid:windy"
270|"Olympus Anomaly Sirenios"|2229|2,3|1,05|1,3|"lava river:plateau:swamp:ocean:vine:acid pool:canyons:grassy hill"|"temperate:windy:humid:artic:hot:frozen:tropical"
271|"Olympus Anomaly Zephyrian"|2229|7,1|0,83|2,05|"lakes"|"subartic:artificial temperate:rocky:hot:windy:humid:arid"
272|"Olympus Anomaly Cerberian"|2229|5,23|0,981|1,75|"island"|"frigid"
273|"Spectrion Kappa"|7197|xx|0,652|xx|"rock arche:valley"|"hot"
274|"Sadalmelik XII"|9186|2,55|0,672|1,56|"island:canyons:cityscape"|"artic:humid:temperate:arid"
275|"Sadalmelik VIII"|9186|4,99|1,266|xx|"island:plain:rocky canyon:grassy hill:fungus forest:volcano:ice cave"|"arid:humid:subartic:windy:frigid:hot:tropical"
276|"Sadalmelik III"|9186|4,86|1,236|1,58|"river:volcano"|"artic:frigid:tropical:subartic:arid"
277|"Sadalmelik XXIV"|9186|1,9|0,712|1,39|"cave"|"rocky:windy:subartic:hot:frozen"
278|"Spectral Veil XVIII"|8441|8,49|1,377|1,83|"cityscape"|"rocky:superheated:subartic:artic"
279|"Radiara Jiu"|185|3,92|0,747|1,74|"plain:plateau:jungle:savanna:vine:ocean:rocky canyon:island:cave"|"temperate:hot:frigid:tropical:rocky:artic"
280|"Radiara Wu"|185|1,61|1,16|1,12|"valley:plain"|"artic:windy"
281|"Astroflux Quartal"|2842|1,22|1,442|0,95|"reef:cave:plateau"|"frigid:superheated"
282|"Astroflux Octal"|2842|1,53|1,414|1,03|"grassy hill:cave"|"artificial temperate:superheated:windy"
283|"Astroflux Vigesimal"|2842|0,94|1,087|0,95|"jungle:verdant:ice cave"|"temperate:subartic:windy:artic:tropical"
284|"Astral Whisper Decimal"|5055|2,96|1,234|1,34|"verdant:ice canyon:grassland"|"humid:artic"
285|"Astral Whisper Vigesimal"|5055|0,71|1,418|0,79|"lava river:cityscape:acid pool:sinkholes:rocky desert"|"superheated:rocky:artic:hot"
286|"Astral Whisper Octal"|5055|1,65|0,811|1,27|"reef:verdant:lava river:bog"|"subartic:windy:hot:humid:frozen"
287|"Astral Whisper Tertial"|5055|5,25|1,131|1,67|"rocky canyon:rocky island:reef:savanna:valley:vine"|"tropical:temperate:artificial temperate:humid:frigid:frozen"
288|"Kamuy Gamma"|9295|8,61|0,853|2,16|"jungle:rocky desert:glacier:mountain:field:forest"|"artic:frozen:humid:hot:subartic:superheated"
289|"Kamuy Omicron"|9295|0,6|1,082|0,82|"grassy hill:desert:fungus forest:savanna:acid pool:rocky desert:glacier:city"|"tropical:frozen:rocky:artificial temperate:artic:windy:hot"
290|"Kamuy Sigma"|9295|7,49|1,155|1,86|"barren:rock arche"|"arid:rocky"
291|"Vortexion Nonal"|4433|7,39|1,319|1,78|"cave:grassland"|"artic:rocky:subartic:humid"
292|"Vortexion Undecimal"|4433|8,39|1,019|2,02|"canyons:city:swamp:rocky canyon:rock arche"|"tropical:frigid:temperate:artic"
293|"Vortexion Duodecimal"|4433|6,54|0,976|1,89|"ice canyon:rock arche"|"windy:frigid:superheated"
294|"Siriusnova Psi"|5498|5,49|1,064|1,73|"city:swamp"|"subartic:humid:artificial temperate:hot:frigid"
295|"Siriusnova Kappa"|5498|7,5|1,152|1,87|"toxic cloudsea:glacier:rocky canyon"|"superheated:hot:tropical:frozen"
296|"Solaris Shroud Quartal"|5751|2,31|1,114|1,28|"canyons:grassy hill:jungle:desert"|"windy:temperate:hot:subartic"
297|"Solaris Shroud Septimal"|5751|2,34|1,593|1,14|"grassy hill:plain:rock arche"|"frozen:humid"
298|"Solaris Shroud Octal"|5751|3,95|1,476|1,39|"sea:river:glacier"|"hot:frozen:superheated:windy:temperate"
299|"Ancha Olympios"|7021|1,25|0,966|1,09|"sea:cityscape:lakes:jungle"|"hot:superheated:arid:artificial temperate:subartic:frigid"
300|"Abyssal Echoes Sextant"|8519|1,32|0,803|1,18|"acid pool:ocean:valley"|"superheated:arid:windy:artic:frozen:tropical"
301|"Abyssal Echoes Vigesimal"|8519|xx|0,998|1,1|"rock arche:rocky desert:bog:acid pool:sea"|"frigid:humid:tropical:frozen:temperate:rocky:artificial temperate"
302|"Abyssal Echoes Tertial"|8519|5,49|1,245|1,64|"rainforest:ice cave:volcano:sea"|"tropical:frigid:arid"
303|"Abyssal Echoes Quartal"|8519|0,76|1,117|xx|"ice canyon:hill:acid pool"|"hot:frozen:arid"
304|"Ran Dionian"|2900|3,43|0,645|1,75|"cliff:river:valley:scrubland"|"humid:frozen:superheated:rocky:artic:subartic:arid"
305|"Seishin II"|9707|5,16|0,769|1,89|"island:sea:volcano:cityscape:jungle:plain"|"arid:tropical:frozen:humid:windy"
306|"Seishin XVIII"|9707|5,77|0,817|1,92|"volcano:plain:fungus forest:field:ice cave:ice canyon"|"subartic:artic:hot:frigid"
307|"Seishin V"|9707|6,53|1,171|1,77|"field"|"subartic:frigid:temperate:frozen:tropical:hot:artificial temperate"
308|"Amaterasu Mirage Nonal"|7810|2,49|1,233|1,26|"forest"|"temperate:artificial temperate"
309|"Amaterasu Mirage Sextant"|7810|4,29|0,798|1,75|"island"|"frozen:hot:subartic:arid:artificial temperate:rocky"
310|"Amaterasu Mirage Quintal"|7810|3,3|0,947|1,52|"valley:vine:volcano:cityscape:tundra"|"rocky:frigid:hot:subartic"
311|"Amaterasu Mirage Vigesimal"|7810|6,58|1,043|1,85|"reef:tundra:volcano"|"frozen:temperate:artic:rocky:humid:superheated"
312|"Saclateni Tertial"|4492|3,72|0,843|1,64|"volcano:ash"|"subartic:rocky:hot"
313|"Tojil Undecimal"|5027|1,33|1,412|0,98|"jungle:grassy hill:reef:fungus forest:grassland:field"|"artic:humid:artificial temperate:windy:hot:frozen"
314|"Inari's Threshold Dionian"|5016|0,54|1,111|0,79|"bog:desert:plain:sinkholes:acid pool:ocean:savanna:urban"|"frigid:hot:rocky:frozen:artic:tropical:humid"
315|"Inari's Threshold Nemesisian"|5016|1,41|1,166|1,07|"mountain:river:jungle:rock arche"|"arid:windy:subartic:frozen:hot"
316|"Inari's Threshold Dionysios"|5016|4,65|0,723|1,86|"sea"|"windy:humid"
317|"Astrum Cryptic XI"|6368|3,03|1,334|1,31|"ocean:verdant:bog:forest:reef"|"temperate:subartic:frigid:windy"
318|"Astrum Cryptic XIII"|6368|5,63|1,056|xx|"rocky island:glacier"|"hot:tropical:artificial temperate:artic:superheated:humid"
319|"Astrum Cryptic III"|6368|1,38|0,749|1,23|"vine"|"rocky:artificial temperate"
320|"Galaxium Octal"|5731|5,52|1,193|1,67|"glacier"|"temperate:artic:humid:subartic:frigid"
321|"Azelfafage Decimal"|6005|7,7|0,548|2,41|"verdant:canyons"|"rocky:superheated:hot"
322|"Azelfafage Vigesimal"|6005|5,92|0,249|2,88|"rainforest:cityscape"|"frozen:humid:artificial temperate"
323|"Bastet's Horizon Liu"|4358|6,35|1,161|1,76|"river:cliff:mountain:canyons:plateau"|"rocky:superheated:frozen:windy"
324|"Bastet's Horizon Qi"|4358|1,41|1,171|1,06|"jungle:lava river:reef:sea:glacier"|"frozen:temperate:humid:rocky:subartic:superheated"
325|"Vortexara Gaian"|2234|4,71|0,828|1,78|"acid pool:lakes:sea:bog:toxic cloudsea:rocky desert:field:rocky island"|"rocky:tropical:humid:artic:temperate:hot:superheated"
326|"Vortexara Aphroditos"|2234|4,83|1,547|1,46|"swamp:savanna:tundra:cliff:field"|"subartic:artificial temperate:superheated:tropical"
327|"Quantum Quasar Upsilon"|4712|5,4|0,889|1,82|"urban:reef:plateau:grassy hill:jungle:canyons"|"frozen:artic:humid:subartic:temperate:rocky"
328|"Hamal Janusian"|3622|2,09|1,125|1,23|"sea:ocean:field"|"windy:hot:subartic:frigid"
329|"Heliosara Gaios"|6365|9,33|0,994|2,11|"city:sea"|"artic:frigid:frozen:arid"
330|"Heliosara Hermesios"|6365|2,38|0,75|1,47|"glacier:valley:bog:urban"|"artic:subartic:superheated:hot"
331|"Felixvarela Hermian"|1100|0,71|0,478|1,14|"barren:rocky desert:cliff"|"superheated:arid"
332|"Hunor Yi"|870|2,07|0,803|1,37|"lakes"|"frozen:artificial temperate"
333|"Hunor Si"|870|0,58|1,66|0,7|"volcano:forest:ocean:field:cliff:sinkholes:ice cave:mountain"|"tropical:rocky:frozen:superheated:temperate"
334|"Zosma Si"|7184|1,24|0,969|1,09|"plain:jungle:sea:plateau:lava river"|"subartic:superheated:artic:arid:hot"
335|"Zosma Yi"|7184|0,85|1,023|xx|"urban:vine:river:sea"|"temperate:frigid:subartic:windy:rocky:tropical"
336|"Zosma Jiu"|7184|0,93|0,888|1,02|"vine"|"windy:temperate:hot"
337|"Zosma Liu"|7184|2,55|1,399|1,22|"rainforest:grassland:scrubland:cliff:ash:glacier:grassy hill:plateau"|"humid:superheated:rocky:arid:subartic"
338|"Libertas Delta"|4324|8,19|0,805|2,17|"grassland:plateau:cityscape:rock arche:rainforest"|"subartic:arid:humid:frozen"
339|"Etherios Sextant"|3687|3,02|1,131|1,39|"rock arche"|"tropical:temperate"
340|"Etherios Vigesimal"|3687|1,78|1,069|1,19|"desert:bog"|"arid:hot"
341|"Pollux Artemian"|9970|3,65|1,164|1,46|"desert"|"arid:frozen"
342|"Pollux Tritonian"|9970|2,11|0,989|1,29|"river:cliff:ice canyon:rocky island:glacier"|"superheated:frigid:rocky"
343|"Pollux Olympios"|9970|xx|1,288|0,97|"toxic cloudsea:valley"|"superheated:frozen:frigid:windy"
344|"Rasalgethi Mu"|2532|1,63|0,58|1,41|"river:forest"|"arid:tropical"
345|"Ginan Shi"|8925|6,1|1,254|1,69|"jungle:river:city:plateau:hill:desert:rocky island:mountain"|"tropical:rocky:frozen:artificial temperate:artic:arid"
346|"Ginan Yi"|8925|4,02|0,499|2,01|"rock arche:ice canyon:reef"|"artic:frigid"
347|"Natasha XX"|5572|1,48|1,054|1,12|""|"windy"
348|"Sarin Harpian"|2153|1,96|0,874|1,31|"barren:tundra:grassland"|"frozen:arid:humid"
349|"Sarin Psychean"|2153|xx|0,821|1,35|"bog:savanna:river"|"superheated:rocky:humid:temperate:windy:arid"
350|"Sarin Nemesisian"|2153|3,75|0,846|xx|""|"windy"
351|"Sarin Hestian"|2153|2,57|1,037|1,35|"hill:vine:bog"|"hot:subartic:rocky:artificial temperate:arid:frozen"
352|"Nefertiti's Beacon Demetrian"|3019|1,19|0,964|1,07|"verdant:hill"|"artificial temperate"
353|"Sadalbari XXIV"|5319|3,95|1,105|1,53|"grassy hill:glacier:sinkholes:field"|"hot:humid:frigid:artificial temperate:arid:superheated:frozen"
354|"Tarf VIII"|2985|1,66|1,002|1,18|"island"|"windy:frigid:artic"
355|"Tarf XXIII"|2985|7,58|0,538|2,42|"rainforest:rocky desert"|"subartic:superheated:frigid:arid:hot:temperate"
356|"Tarf XV"|2985|2,96|1,145|1,37|"bog:acid pool:reef:ocean:jungle:rocky desert:sea"|"artic:humid:subartic:rocky:tropical"
357|"Tarf XI"|2985|6,73|0,989|1,9|"city"|"tropical"
358|"Hunahpú San"|5302|1,52|0,523|1,43|"ice cave"|"frozen"
359|"Kasai V"|5355|1,22|0,902|1,11|"jungle:hill:plain:cityscape:desert"|"windy:hot:rocky:frozen:temperate"
360|"Kasai XI"|5355|3,06|0,565|1,76|"sea:city"|"rocky:artic:frigid"
361|"Starlight Whisper Quartal"|9231|xx|0,855|2,12|"plain:verdant:reef:vine:ash:city"|"tropical:temperate:windy:superheated:rocky"
362|"Naos X"|8590|5,39|0,756|1,92|"rock arche:ash:lakes:jungle:canyons"|"artic:superheated:frozen"
363|"Naos VIII"|8590|8,28|0,755|2,22|"lava river:reef:rock arche:ash:hill"|"subartic:windy:superheated:humid"
364|"Thuban Vigesimal"|6574|7,71|1,491|1,73|"hill:valley:vine"|"frigid:tropical:artificial temperate:temperate:arid:humid"
365|"Celestial Serenity Liu"|773|6,48|0,46|2,41|"cave:ice cave:reef"|"temperate:frigid:humid:frozen"
366|"Celestial Serenity San"|773|3,03|1,475|1,27|"toxic cloudsea:forest:ice cave:verdant:scrubland"|"arid:rocky:artic:windy"
367|"Icarian Cipher Sigma"|4014|8,06|1,068|1,96|"canyons:mountain:rock arche:plateau"|"subartic:temperate:artificial temperate:frozen:tropical"
368|"Tesserion Nymphios"|5656|1,03|1,078|0,98|"toxic cloudsea:glacier:cityscape:rocky desert:rocky canyon"|"artic:artificial temperate:subartic:rocky"
369|"Umbral Depths Omicron"|479|5,53|1,168|1,68|"cave:rocky island:fungus forest:rocky canyon:jungle:ash:bog"|"hot:frigid:artic:artificial temperate:subartic:superheated:humid"
370|"Umbral Depths Eta"|479|2,1|0,651|1,48|"volcano"|"humid:rocky:superheated:subartic"
371|"Umbral Depths Psi"|479|0,75|1,159|0,87|"canyons:cityscape:rocky desert:plain"|"artic:humid:tropical:hot"
372|"Larawag Tau"|2641|0,51|1,147|0,76|"vine:reef:savanna:rocky island:plateau:cave:cliff:grassland:rainforest:ice canyon:rocky desert"|"arid:frigid:humid:temperate:superheated:tropical:subartic"
373|"Irena Nymphios"|4133|1,4|1,226|1,05|"hill"|"humid:rocky"
374|"Merope Liu"|8287|xx|0,614|2,01|"urban:jungle:valley:cave:rocky island:sinkholes"|"tropical:rocky:frigid:hot:temperate:artificial temperate"
375|"Merope Wu"|8287|8,88|1,222|1,94|"bog"|"temperate:subartic"
376|"Infinite Whispers XVIII"|1997|6,03|0,722|2,03|"hill:ash"|"hot:superheated"
377|"Infinite Whispers XX"|1997|2,29|1,402|1,18|"field:mountain"|"temperate:arid:superheated"
378|"Luminous Wraith Duodecimal"|909|2,05|1,137|1,22|"canyons:ocean"|"hot:frigid:subartic:arid:artificial temperate:frozen:tropical"
379|"Celestrium XX"|8200|2,42|1,325|1,22|"sinkholes:reef:vine"|"temperate:arid:hot:humid"
380|"Celestrium XIX"|8200|4,72|1,235|1,56|"acid pool:vine:cave:verdant:tundra:grassy hill:volcano"|"frigid:superheated:artic:artificial temperate:tropical"
381|"Cryptic Mirage Zeta"|4568|1,44|0,338|1,62|"rock arche:urban:tundra"|"frigid:windy:rocky:arid"
382|"Cryptic Mirage Delta"|4568|0,87|0,696|1,08|"grassy hill:sea:urban"|"hot:windy:superheated"
383|"Arcanix Athenian"|6560|6,01|1,314|1,66|"hill"|"artic:temperate"
384|"Nihal III"|2205|6,79|1,009|1,89|"plain:barren"|"arid"
385|"Nunki Decimal"|8914|6,2|1,234|1,71|"tundra:valley:canyons:cave:hill:desert"|"rocky:frozen:frigid:artificial temperate:windy"
386|"Nunki Quartal"|8914|3,3|0,939|1,52|"swamp:fungus forest"|"tropical:hot"
387|"Kurai Veil Nyxios"|2139|3,99|1,139|1,52|"fungus forest:tundra:city:plateau:valley:grassland:vine"|"arid:frozen:subartic:rocky:humid"
388|"Belel Si"|8724|1,77|1,268|1,12|"fungus forest:rainforest:field:canyons:rocky desert:glacier:city:ash:sinkholes"|"hot:windy:superheated:frozen:humid:artificial temperate:arid"
389|"Belel Jiu"|8724|xx|1,342|0,91|"cityscape:vine"|"superheated:artificial temperate:frigid:hot"
390|"Belel Ba"|8724|3,83|0,984|1,57|"rock arche:sea"|"temperate"
391|"Uruk XV"|9308|0,39|1,26|0,68|"plain:verdant"|"artic:subartic:frigid:arid"
392|"Uruk IV"|9308|6,27|0,596|2,19|"rainforest:valley:city:fungus forest:verdant:cave"|"hot:windy:frigid:frozen:tropical:superheated"
393|"Tuiren Nu"|1350|2,27|1,424|1,17|"canyons:rocky canyon:glacier"|"rocky:subartic:temperate:arid"
394|"Tuiren Chi"|1350|1,2|0,826|1,13|"forest"|"temperate"
395|"Tuiren Gamma"|1350|2,56|1,338|xx|"island:rock arche:verdant:glacier:volcano:jungle"|"artificial temperate:subartic:rocky:artic:superheated"
396|"Tuiren Lambda"|1350|5,24|1,335|1,58|"plain:jungle:city"|"tropical:artic:frozen:artificial temperate:subartic:arid"
397|"Samurai's Ember XXI"|1640|1,53|1,238|1,07|"cave:ice canyon:hill:reef:volcano:rocky canyon"|"artificial temperate:artic:temperate:superheated:hot:frigid:rocky"
398|"Wurren Poseidian"|8249|2,12|1,307|1,17|"rocky island:island"|"windy:rocky:temperate"
399|"Wurren Nemesisian"|8249|xx|1,197|1,03|"rocky desert:cityscape:vine:tundra"|"windy:arid:subartic:frozen"
400|"Alnilam Eta"|4325|7,85|1,331|1,81|"bog:rocky canyon:jungle"|"tropical:subartic:hot:frigid:arid:humid:windy"
401|"Alnilam Rho"|4325|3,09|0,858|1,53|"rock arche:cliff:hill:ocean:valley"|"arid:humid:frozen:hot"
402|"Astrum Quasar Secant"|9076|7,05|1,361|1,73|"forest"|"temperate:humid"
403|"Zenitharian Hadean"|9262|3,38|1,354|1,36|"sea:plain:plateau"|"tropical:artificial temperate:hot"
404|"Menkar Gaios"|1827|3,88|0,6|1,86|"mountain:rocky desert"|"tropical:frozen"
405|"Menkar Demetrian"|1827|1,8|1,36|1,1|"rainforest:valley:jungle:cliff"|"artificial temperate:artic:superheated:hot:rocky"
406|"Starshard Phi"|2258|1,5|0,083|2,62|"valley"|"rocky:tropical:temperate"
407|"Starshard Psi"|2258|0,7|0,973|0,9|"river"|"temperate:tropical:windy"
408|"Stellarnova XVIII"|8898|5,01|0,808|xx|"toxic cloudsea:cave:ocean:sea:ice cave"|"subartic:windy:artic:temperate"
409|"Symbionix Harpian"|9377|1,42|0,92|1,16|"mountain:tundra:island:ocean"|"rocky:artic:arid:frozen:frigid"
410|"Ketsueki Whispers Pegasusian"|9452|2,97|0,929|1,47|"canyons:cave:cliff"|"rocky:hot"
411|"Ketsueki Whispers Olympus"|9452|1,97|0,841|1,33|"swamp"|"superheated:temperate:humid:frigid:tropical:subartic:artic"
412|"Ketsueki Whispers Cerberian"|9452|5,35|1,233|1,63|"rocky island:scrubland:cliff"|"humid:frozen:tropical:hot:superheated:temperate:arid"
413|"Grumium Sigma"|1706|4,91|1,07|xx|"mountain:rock arche:ash:reef:rocky canyon"|"windy:artificial temperate:hot:frozen:artic"
414|"Grumium Psi"|1706|2,34|0,791|1,44|"rocky island"|"superheated:arid:humid"
415|"Nushagak Gamma"|5173|2,41|1,299|1,23|"volcano:barren:forest"|"tropical:subartic:arid"
416|"Elnath Aphroditos"|9726|0,47|1,109|0,75|"reef:vine"|"artic:temperate:frozen:arid"
417|"Eagleeye XIV"|8178|1,28|0,984|1,09|"plain:savanna"|"frigid:humid:rocky:artic"
418|"Eagleeye XV"|8178|2,32|0,967|1,34|"rock arche:acid pool:island"|"humid:windy:frozen:tropical:subartic"
419|"Nosaxa Nu"|1573|0,46|0,599|0,92|"lakes:swamp:ash"|"hot:arid:superheated:artificial temperate:tropical"
420|"Bosona Yi"|7568|0,96|0,578|1,18|"tundra:sea:reef"|"subartic:hot:frozen"
421|"Bosona Qi"|7568|2,2|0,807|1,4|"fungus forest:tundra:plateau"|"artic:rocky:tropical:frozen"
422|"Hawkfire IX"|7349|8,96|1,057|2,04|"sea:island"|"tropical:frigid"
423|"Hawkfire XIV"|7349|4,82|0,703|1,9|"ice cave:reef:tundra:valley:ocean"|"subartic:tropical:superheated:artic"
424|"Hawkfire XIX"|7349|3,6|1,348|1,39|"cityscape:rainforest:rock arche:lava river:savanna:hill:mountain:forest"|"tropical:superheated:artic:arid:frozen:hot"
425|"Hawkfire XVIII"|7349|0,84|1,019|0,94|"valley:desert"|"superheated"
426|"Tsuki's Nebula Prime"|416|2,31|0,457|1,72|"savanna:city:toxic cloudsea:sinkholes:cityscape:ice canyon:plain:glacier"|"superheated:hot:windy:artic:rocky:subartic:frozen"
427|"Tsuki's Nebula Tertial"|416|5,78|0,519|2,23|"cityscape:urban"|"hot:windy"
428|"Thalassa's Shroud VIII"|1504|6,04|0,896|1,89|"savanna:ash:cityscape:lakes:desert:rocky island"|"superheated:artic:temperate:frigid:subartic"
429|"Thalassa's Shroud XVI"|1504|1,48|1,215|1,07|"savanna:canyons:acid pool:forest:ice cave"|"windy:rocky:frozen:arid:hot:temperate"
430|"Thalassa's Shroud XXIII"|1504|0,65|1,022|0,86|"rock arche"|"windy:tropical"
431|"Thalassa's Shroud XXII"|1504|5,96|0,562|2,2|"urban:mountain:ice canyon:glacier:volcano:plateau:cave:ice cave:jungle"|"frigid:windy:tropical:hot:frozen:rocky:superheated"
432|"Nyamien Omicron"|8973|4,35|0,882|1,7|"grassy hill"|"windy:frozen:temperate:tropical"
433|"Nyamien Alpha"|8973|1,69|1,002|1,19|"acid pool:swamp:ice canyon:toxic cloudsea:urban"|"frigid:artic:windy:subartic:humid"
434|"Nyamien Theta"|8973|2,33|0,587|1,58|"glacier:urban:lakes"|"humid:rocky:subartic:windy"
435|"Nyamien Chi"|8973|1,88|1,629|1,05|"jungle:cave:plain:lava river"|"arid:tropical:artificial temperate:superheated"
436|"Aldulfin Nonal"|9070|xx|0,371|1,98|"ice canyon:cave:mountain"|"frozen:artic:superheated"
437|"Aldulfin Sextant"|9070|1,75|1,18|1,14|"cave:island:cliff"|"superheated:frozen:tropical:frigid:hot"
438|"Aldulfin Duodecimal"|9070|4,62|1,363|1,5|"rocky desert"|"frozen:arid"
439|"Altair XI"|908|4,06|1,171|1,51|"ice canyon:toxic cloudsea:plateau"|"superheated:frigid:frozen"
440|"Altair XV"|908|1,2|1,063|1,04|"plateau:canyons:grassland:plain:lava river:grassy hill:rainforest"|"arid:hot:temperate:artificial temperate:humid:frozen"
441|"Eternal Murmurs Cerberian"|8367|4,23|1,812|1,33|"valley:mountain"|"artic:windy:artificial temperate"
442|"Lich XIII"|8275|5,9|0,95|1,84|"bog:acid pool"|"windy:rocky:artificial temperate:temperate:artic"
443|"Lich XI"|8275|xx|0,833|1,11|"lakes:fungus forest"|"tropical:subartic:humid:frozen"
444|"Lich IV"|8275|6,56|1,095|xx|"toxic cloudsea"|"humid:windy:frozen"
445|"Taygeta Orphean"|6266|2,91|1,075|1,39|"verdant:toxic cloudsea"|"hot:subartic:rocky:superheated:frozen:arid:artificial temperate"
